# cuerpo, x, y, z, vx, vy, vz, t, masa
1.000000000000000000e+00,-1.977946441504784393e+10,-1.493560309734867859e+11,0.000000000000000000e+00,3.034813698246832428e+04,-5.624564481399031138e+03,0.000000000000000000e+00,7.500000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.603890993124017334e+11,-1.633965470457890930e+11,0.000000000000000000e+00,3.085582453886446729e+03,1.395224160683152149e+04,0.000000000000000000e+00,7.500000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.347089047065875769e+09,-9.848508066408695221e+09,0.000000000000000000e+00,-2.747808542599588399e+00,-2.569877125322165057e+01,0.000000000000000000e+00,7.510000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,1.320133443023101807e+10,-1.515781065335516357e+11,0.000000000000000000e+00,3.044934779351773977e+04,1.508279598086923670e+03,0.000000000000000000e+00,7.510000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.635583337365975342e+11,-1.482915587695943604e+11,0.000000000000000000e+00,2.782082034102581474e+03,1.401903523000204950e+04,0.000000000000000000e+00,7.510000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.349898138614161015e+09,-9.876305232527191162e+09,0.000000000000000000e+00,-2.452231183019902172e+00,-2.577636914301750792e+01,0.000000000000000000e+00,7.520000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,4.541738694520623016e+10,-1.462432931622810364e+11,0.000000000000000000e+00,2.895213769390530797e+04,8.309935150597131724e+03,0.000000000000000000e+00,7.520000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.663989252976822510e+11,-1.331181433136299744e+11,0.000000000000000000e+00,2.477007665692947739e+03,1.407892813740722704e+04,0.000000000000000000e+00,7.520000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.352384925179506063e+09,-9.904181673174213409e+09,0.000000000000000000e+00,-2.151059658578583722e+00,-2.584540027796420603e+01,0.000000000000000000e+00,7.530000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,7.523547801270243835e+10,-1.338859807348970795e+11,0.000000000000000000e+00,2.603847170962824021e+04,1.446391132383451259e+04,0.000000000000000000e+00,7.530000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.689092659548402100e+11,-1.178837767021357727e+11,0.000000000000000000e+00,2.170530203671702566e+03,1.413187793244707973e+04,0.000000000000000000e+00,7.530000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.354543806099786282e+09,-9.932127699225572586e+09,0.000000000000000000e+00,-1.845128661806309411e+00,-2.590508748288617014e+01,0.000000000000000000e+00,7.540000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,1.012433696898803101e+11,-1.153445354787947540e+11,0.000000000000000000e+00,2.193172605846103761e+04,1.972351989791444066e+04,0.000000000000000000e+00,7.540000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.710879329423699951e+11,-1.025959781457073669e+11,0.000000000000000000e+00,1.862821873055664128e+03,1.417784706259063569e+04,0.000000000000000000e+00,7.540000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.356370121403900146e+09,-9.960132890354688644e+09,0.000000000000000000e+00,-1.535337369274498043e+00,-2.595485048799000083e+01,0.000000000000000000e+00,7.550000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,1.222828907114322968e+11,-9.168857622351007080e+10,0.000000000000000000e+00,1.687631464277597479e+04,2.390607272470136013e+04,0.000000000000000000e+00,7.550000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.729336901630084229e+11,-8.726230478056333923e+10,0.000000000000000000e+00,1.554056108180911679e+03,1.421680287218790909e+04,0.000000000000000000e+00,7.550000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.357860198248552799e+09,-9.988186293624258041e+09,0.000000000000000000e+00,-1.222609760006643898e+00,-2.599427909860224162e+01,0.000000000000000000e+00,7.560000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,1.374649685134820251e+11,-6.415455062936621094e+10,0.000000000000000000e+00,1.112454711900468465e+04,2.688392660916340537e+04,0.000000000000000000e+00,7.560000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.744454894063498535e+11,-7.189034635517810059e+10,0.000000000000000000e+00,1.244407389288475315e+03,1.424871764699870437e+04,0.000000000000000000e+00,7.560000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.359011364805566072e+09,-1.001627659231524467e+10,0.000000000000000000e+00,-9.078733323627184992e-01,-2.602310613601120437e+01,0.000000000000000000e+00,7.570000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,1.461738989077784729e+11,-3.409123841870547867e+10,0.000000000000000000e+00,4.929611255494192847e+03,2.857546286351497474e+04,0.000000000000000000e+00,7.570000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.756224713887030029e+11,-5.648771987342614746e+10,0.000000000000000000e+00,9.340510750029264955e+02,1.427356865021366502e+04,0.000000000000000000e+00,7.570000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.359821948877512455e+09,-1.004439224810526466e+10,0.000000000000000000e+00,-5.920512879361726766e-01,-2.604118586056045004e+01,0.000000000000000000e+00,7.580000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,1.480666038544220581e+11,-2.914135559687291622e+09,0.000000000000000000e+00,-1.456963291408984105e+03,2.893789992772319965e+04,0.000000000000000000e+00,7.580000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.764639666091688232e+11,-4.106206420304990387e+10,0.000000000000000000e+00,6.231632293753847307e+02,1.429133815088602933e+04,0.000000000000000000e+00,7.580000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.360291273021621704e+09,-1.007252162435603333e+10,0.000000000000000000e+00,-2.760630827555289324e-01,-2.604848093695228783e+01,0.000000000000000000e+00,7.590000000000000000e+02,1.989099999999999888e+30
